cod_grupo,cod_grupo_padre
GR000213,GR001818
GR000214,GR006142
GR000215,GR002402
GR000216,GR005476
GR000217,GR005827
GR000218,GR008499
GR000219,GR009248
GR000220,GR006974
GR000221,GR000818
GR000222,GR009181
GR000223,GR010061
GR000224,GR009567
GR000225,GR003029
GR000226,GR007368
GR000227,GR003763
GR000228,GR005842
GR000229,GR007976
GR000230,GR008909
GR000231,GR002636
GR000232,GR005246
GR000233,GR002099
GR000234,GR009002
GR000235,GR004572
GR000236,GR007202
GR000237,GR003315
GR000238,GR009206
GR000239,GR007547
GR000240,GR001893
GR000241,GR004532
GR000242,GR005608
GR000243,GR001873
GR000244,GR003573
GR000245,GR006726
GR000246,GR000913
GR000247,GR007696
GR000248,GR003624
GR000249,GR003739
GR000250,GR006710
GR000251,GR000679
GR000252,GR006381
GR000253,GR006126
GR000254,GR003978
GR000255,GR009114
GR000256,GR003284
GR000257,GR005190
GR000258,GR001835
GR000259,GR008346
GR000260,GR001774
GR000261,GR002400
GR000262,GR003256
GR000263,GR009572
GR000264,GR000616
GR000265,GR001371
GR000266,GR004871
GR000267,GR000377
GR000268,GR007886
GR000269,GR001320
GR000270,GR007192
GR000271,GR000053
GR000272,GR007541
GR000273,GR005547
GR000274,GR002471
GR000275,GR008215
GR000276,GR003659
GR000277,GR009041
GR000278,GR000571
GR000279,GR004034
GR000280,GR005776
GR000281,GR009822
GR000282,GR002100
GR000283,GR005999
GR000284,GR002504
GR000285,GR002074
GR000286,GR008898
GR000287,GR009192
GR000288,GR004010
GR000289,GR006230
GR000290,GR004929
GR000291,GR003938
GR000292,GR001402
GR000293,GR005403
GR000294,GR007934
GR000295,GR002602
GR000296,GR009711
GR000297,GR005856
GR000298,GR003104
GR000299,GR008076
GR000300,GR008801
GR000301,GR001762
GR000302,GR008031
GR000303,GR007873
GR000304,GR001328
GR000305,GR004434
GR000306,GR006419
GR000307,GR006931
GR000308,GR006401
GR000309,GR001789
GR000310,GR008607
GR000311,GR008736
GR000312,GR007510
GR000313,GR007660
GR000314,GR006738
GR000315,GR003892
GR000316,GR006263
GR000317,GR009875
GR000318,GR006903
GR000319,GR008983
GR000320,GR001141
GR000321,GR007211
GR000322,GR004276
GR000323,GR009700
GR000324,GR000932
GR000325,GR009463
GR000326,GR001965
GR000327,GR003152
GR000328,GR009717
GR000329,GR004156
GR000330,GR002521
GR000331,GR010097
GR000332,GR005725
GR000333,GR009314
GR000334,GR005672
GR000335,GR006471
GR000336,GR008915
GR000337,GR009466
GR000338,GR004140
GR000339,GR009499
GR000340,GR008319
GR000341,GR009610
GR000342,GR008084
GR000343,GR000591
GR000344,GR002210
GR000345,GR007042
GR000346,GR006648
GR000347,GR006971
GR000348,GR006456
GR000349,GR006026
GR000350,GR005929
GR000351,GR006326
GR000352,GR002808
GR000353,GR005299
GR000354,GR007706
GR000355,GR007432
GR000356,GR004745
GR000357,GR006057
GR000358,GR003877
GR000359,GR005029
GR000360,GR000955
GR000361,GR003387
GR000362,GR001406
GR000363,GR002772
GR000364,GR005798
GR000365,GR001325
GR000366,GR001909
GR000367,GR002601
GR000368,GR004530
GR000369,GR007252
GR000370,GR000787
GR000371,GR002793
GR000372,GR008874
GR000373,GR001025
GR000374,GR005399
GR000375,GR003978
GR000376,GR004152
GR000377,GR008994
GR000378,GR008660
GR000379,GR007128
GR000380,GR008915
GR000381,GR009534
GR000382,GR008371
GR000383,GR001649
GR000384,GR005020
GR000385,GR002879
GR000386,GR004129
GR000387,GR002252
GR000388,GR009880
GR000389,GR001522
GR000390,GR003457
GR000391,GR008354
GR000392,GR004686
GR000393,GR005623
GR000394,GR000944
GR000395,GR003607
GR000396,GR001646
GR000397,GR003677
GR000398,GR007439
GR000399,GR006185
GR000400,GR008326
GR000401,GR008971
GR000402,GR000487
GR000403,GR004452
GR000404,GR007030
GR000405,GR002109
GR000406,GR002102
GR000407,GR001020
GR000408,GR001824
GR000409,GR006618
GR000410,GR003803
GR000411,GR009364
GR000412,GR006163
GR000413,GR006343
GR000414,GR007396
GR000415,GR006375
GR000416,GR008902
GR000417,GR004793
GR000418,GR009906
GR000419,GR002246
GR000420,GR003304
GR000421,GR001962
GR000422,GR007090
GR000423,GR004301
GR000424,GR004547
GR000425,GR000078
GR000426,GR003296
GR000427,GR009431
GR000428,GR008617
GR000429,GR005583
GR000430,GR007795
GR000431,GR005479
GR000432,GR001794
GR000433,GR004318
GR000434,GR008407
GR000435,GR000053
GR000436,GR000890
GR000437,GR003274
GR000438,GR000601
GR000439,GR001540
GR000440,GR009607
GR000441,GR001805
GR000442,GR000391
GR000443,GR004240
GR000444,GR002635
GR000445,GR007301
GR000446,GR009495
GR000447,GR001681
GR000448,GR007324
GR000449,GR001131
GR000450,GR002674
GR000451,GR004509
GR000452,GR002359
GR000453,GR002936
GR000454,GR005469
GR000455,GR007056
GR000456,GR004597
GR000457,GR009670
GR000458,GR006346
GR000459,GR001616
GR000460,GR008035
GR000461,GR009174
GR000462,GR000389
GR000463,GR004577
GR000464,GR006190
GR000465,GR003879
GR000466,GR000312
GR000467,GR005576
GR000468,GR003971
GR000469,GR006064
GR000470,GR009232
GR000471,GR001081
GR000472,GR007925
GR000473,GR007644
GR000474,GR002417
GR000475,GR006574
GR000476,GR007228
GR000477,GR000114
GR000478,GR008362
GR000479,GR001228
GR000480,GR003720
GR000481,GR003180
GR000482,GR007677
GR000483,GR006530
GR000484,GR000159
GR000485,GR002106
GR000486,GR007762
GR000487,GR009004
GR000488,GR006314
GR000489,GR002784
GR000490,GR002010
GR000491,GR007204
GR000492,GR002975
GR000493,GR000684
GR000494,GR006297
GR000495,GR005201
GR000496,GR007974
GR000497,GR005838
GR000498,GR007922
GR000499,GR006017
GR000500,GR006227
GR000501,GR008204
GR000502,GR005186
GR000503,GR008988
GR000504,GR000287
GR000505,GR006800
GR000506,GR006608
GR000507,GR008570
GR000508,GR000185
GR000509,GR001362
GR000510,GR006862
GR000511,GR005813
GR000512,GR004077
GR000513,GR000492
GR000514,GR007794
GR000515,GR003136
GR000516,GR007241
GR000517,GR001953
GR000518,GR004845
GR000519,GR009258
GR000520,GR000732
GR000521,GR007734
GR000522,GR003105
GR000523,GR003129
GR000524,GR005648
GR000525,GR002847
GR000526,GR007440
GR000527,GR000421
GR000528,GR003223
GR000529,GR009163
GR000530,GR007011
GR000531,GR000788
GR000532,GR009930
GR000533,GR005467
GR000534,GR005054
GR000535,GR000046
GR000536,GR007928
GR000537,GR006067
GR000538,GR005207
GR000539,GR000964
GR000540,GR002162
GR000541,GR001715
GR000542,GR001174
GR000543,GR002887
GR000544,GR006335
GR000545,GR001136
GR000546,GR003747
GR000547,GR009067
GR000548,GR003264
GR000549,GR005494
GR000550,GR009795
GR000551,GR009419
GR000552,GR005337
GR000553,GR001107
GR000554,GR001746
GR000555,GR000348
GR000556,GR003590
GR000557,GR006549
GR000558,GR000851
GR000559,GR006001
GR000560,GR003019
GR000561,GR004520
GR000562,GR004616
GR000563,GR004984
GR000564,GR004039
GR000565,GR002042
GR000566,GR007828
GR000567,GR005419
GR000568,GR005008
GR000569,GR009482
GR000570,GR006947
GR000571,GR000308
GR000572,GR003755
GR000573,GR002807
GR000574,GR010090
GR000575,GR006312
GR000576,GR005005
GR000577,GR009738
GR000578,GR000485
GR000579,GR001667
GR000580,GR004977
GR000581,GR003809
GR000582,GR003389
GR000583,GR007999
GR000584,GR006307
GR000585,GR000870
GR000586,GR001910
GR000587,GR000282
GR000588,GR008905
GR000589,GR006763
GR000590,GR006012
GR000591,GR003645
GR000592,GR002568
GR000593,GR008286
GR000594,GR002560
GR000595,GR003577
GR000596,GR001970
GR000597,GR001905
GR000598,GR002247
GR000599,GR001079
GR000600,GR004042
GR000601,GR007628
GR000602,GR000700
GR000603,GR008055
GR000604,GR003797
GR000605,GR008210
GR000606,GR008017
GR000607,GR008206
GR000608,GR009574
GR000609,GR007414
GR000610,GR003234
GR000611,GR007023
GR000612,GR001694
GR000613,GR003825
GR000614,GR007180
GR000615,GR009663
GR000616,GR004950
GR000617,GR002528
GR000618,GR008954
GR000619,GR008431
GR000620,GR008311
GR000621,GR004381
GR000622,GR009122
GR000623,GR001726
GR000624,GR004704
GR000625,GR005458
GR000626,GR008599
GR000627,GR003559
GR000628,GR008766
GR000629,GR002763
GR000630,GR009544
GR000631,GR006685
GR000632,GR009826
GR000633,GR006908
GR000634,GR007612
GR000635,GR001393
GR000636,GR000622
GR000637,GR005065
GR000638,GR003897
GR000639,GR008936
GR000640,GR009310
GR000641,GR006345
GR000642,GR001573
GR000643,GR000431
GR000644,GR006778
GR000645,GR002188
GR000646,GR005776
GR000647,GR001591
GR000648,GR006451
GR000649,GR002049
GR000650,GR003110
GR000651,GR001340
GR000652,GR001073
GR000653,GR004851
GR000654,GR007116
GR000655,GR009907
GR000656,GR000807
GR000657,GR007209
GR000658,GR006573
GR000659,GR002375
GR000660,GR004652
GR000661,GR009733
GR000662,GR003891
GR000663,GR006121
GR000664,GR000271
GR000665,GR007187
GR000666,GR000635
GR000667,GR007790
GR000668,GR009278
GR000669,GR004716
GR000670,GR005862
GR000671,GR005096
GR000672,GR009186
GR000673,GR007632
GR000674,GR009215
GR000675,GR005908
GR000676,GR004343
GR000677,GR005784
GR000678,GR002010
GR000679,GR005324
GR000680,GR003103
GR000681,GR006468
GR000682,GR006343
GR000683,GR004063
GR000684,GR009481
GR000685,GR005731
GR000686,GR003258
GR000687,GR006403
GR000688,GR007749
GR000689,GR009492
GR000690,GR009969
GR000691,GR004059
GR000692,GR004888
GR000693,GR000958
GR000694,GR008072
GR000695,GR003381
GR000696,GR002391
GR000697,GR008863
GR000698,GR008425
GR000699,GR002909
GR000700,GR006072
GR000701,GR004950
GR000702,GR008604
GR000703,GR007860
GR000704,GR008437
GR000705,GR003631
GR000706,GR005385
GR000707,GR007612
GR000708,GR009615
GR000709,GR009063
GR000710,GR003044
GR000711,GR003423
GR000712,GR005184
GR000713,GR006627
GR000714,GR004698
GR000715,GR007425
GR000716,GR006432
GR000717,GR009505
GR000718,GR003541
GR000719,GR006458
GR000720,GR008492
GR000721,GR005236
GR000722,GR008590
GR000723,GR002904
GR000724,GR009236
GR000725,GR008426
GR000726,GR003142
GR000727,GR006548
GR000728,GR003861
GR000729,GR002316
GR000730,GR003023
GR000731,GR004191
GR000732,GR001710
GR000733,GR005263
GR000734,GR000226
GR000735,GR006288
GR000736,GR009780
GR000737,GR007198
GR000738,GR005064
GR000739,GR007601
GR000740,GR008093
GR000741,GR002967
GR000742,GR000565
GR000743,GR002049
GR000744,GR007324
GR000745,GR003438
GR000746,GR000603
GR000747,GR007399
GR000748,GR006121
GR000749,GR003198
GR000750,GR003546
GR000751,GR006071
GR000752,GR005027
GR000753,GR002964
GR000754,GR008688
GR000755,GR002956
GR000756,GR000241
GR000757,GR000596
GR000758,GR004511
GR000759,GR003206
GR000760,GR004716
GR000761,GR004389
GR000762,GR004130
GR000763,GR000764
GR000764,GR004769
GR000765,GR001475
GR000766,GR001501
GR000767,GR002959
GR000768,GR004605
GR000769,GR004195
GR000770,GR001906
GR000771,GR000373
GR000772,GR009706
GR000773,GR007754
GR000774,GR002174
GR000775,GR002884
GR000776,GR004966
GR000777,GR004686
GR000778,GR006940
GR000779,GR006624
GR000780,GR000306
GR000781,GR000437
GR000782,GR005476
GR000783,GR000315
GR000784,GR008122
GR000785,GR000210
GR000786,GR004754
GR000787,GR004789
GR000788,GR000243
GR000789,GR008243
GR000790,GR010054
GR000791,GR007576
GR000792,GR005238
GR000793,GR009048
GR000794,GR007986
GR000795,GR008832
GR000796,GR004460
GR000797,GR008622
GR000798,GR009406
GR000799,GR001650
GR000800,GR004244
GR000801,GR000415
GR000802,GR007272
GR000803,GR008351
GR000804,GR005797
GR000805,GR000214
GR000806,GR005559
GR000807,GR004303
GR000808,GR002963
GR000809,GR000543
GR000810,GR007970
GR000811,GR009094
GR000812,GR006799
GR000813,GR001497
GR000814,GR007254
GR000815,GR005458
GR000816,GR000837
GR000817,GR002343
GR000818,GR004604
GR000819,GR001707
GR000820,GR004875
GR000821,GR008112
GR000822,GR007674
GR000823,GR001058
GR000824,GR006648
GR000825,GR008403
GR000826,GR000063
GR000827,GR003202
GR000828,GR009854
GR000829,GR001528
GR000830,GR005853
GR000831,GR002707
GR000832,GR000705
GR000833,GR004515
GR000834,GR004993
GR000835,GR009263
GR000836,GR005650
GR000837,GR002787
GR000838,GR000410
GR000839,GR009924
GR000840,GR005536
GR000841,GR002572
GR000842,GR000201
GR000843,GR005564
GR000844,GR003447
GR000845,GR004671
GR000846,GR004563
GR000847,GR000997
GR000848,GR008279
GR000849,GR002865
GR000850,GR008949
GR000851,GR004277
GR000852,GR000441
GR000853,GR008883
GR000854,GR008045
GR000855,GR006918
GR000856,GR009815
GR000857,GR004166
GR000858,GR006851
GR000859,GR003642
GR000860,GR005670
GR000861,GR005574
GR000862,GR004953
GR000863,GR005540
GR000864,GR001528
GR000865,GR000802
GR000866,GR000925
GR000867,GR008403
GR000868,GR001318
GR000869,GR007922
GR000870,GR005662
GR000871,GR008749
GR000872,GR008516
GR000873,GR004024
GR000874,GR002814
GR000875,GR002950
GR000876,GR006779
GR000877,GR007685
GR000878,GR004321
GR000879,GR009802
GR000880,GR009371
GR000881,GR005249
GR000882,GR000955
GR000883,GR008248
GR000884,GR000218
GR000885,GR005103
GR000886,GR006173
GR000887,GR003935
GR000888,GR010073
GR000889,GR009416
GR000890,GR003589
GR000891,GR001129
GR000892,GR005260
GR000893,GR000465
GR000894,GR001564
GR000895,GR000502
GR000896,GR005594
GR000897,GR005823
GR000898,GR005233
GR000899,GR008388
GR000900,GR008147
GR000901,GR001504
GR000902,GR006236
GR000903,GR005016
GR000904,GR002100
GR000905,GR009310
GR000906,GR003832
GR000907,GR005501
GR000908,GR000956
GR000909,GR001129
GR000910,GR008821
GR000911,GR000743
GR000912,GR007714
GR000913,GR006366
GR000914,GR000856
GR000915,GR007593
GR000916,GR007122
GR000917,GR000722
GR000918,GR002875
GR000919,GR006107
GR000920,GR006261
GR000921,GR008109
GR000922,GR004537
GR000923,GR001648
GR000924,GR005655
GR000925,GR008082
GR000926,GR002980
GR000927,GR000116
GR000928,GR002554
GR000929,GR007348
GR000930,GR004838
GR000931,GR004356
GR000932,GR006929
GR000933,GR003662
GR000934,GR000556
GR000935,GR007520
GR000936,GR001797
GR000937,GR005678
GR000938,GR007781
GR000939,GR009668
GR000940,GR010049
GR000941,GR005766
GR000942,GR005487
GR000943,GR008187
GR000944,GR008658
GR000945,GR002157
GR000946,GR007599
GR000947,GR003105
GR000948,GR007409
GR000949,GR005289
GR000950,GR002091
GR000951,GR009175
GR000952,GR006714
GR000953,GR007321
GR000954,GR007850
GR000955,GR008685
GR000956,GR002524
GR000957,GR007519
GR000958,GR009566
GR000959,GR006121
GR000960,GR000851
GR000961,GR002264
GR000962,GR006291
GR000963,GR000511
GR000964,GR008076
GR000965,GR008205
GR000966,GR000541
GR000967,GR009884
GR000968,GR009550
GR000969,GR003053
GR000970,GR003461
GR000971,GR003846
GR000972,GR004800
GR000973,GR006747
GR000974,GR010037
GR000975,GR002519
GR000976,GR006057
GR000977,GR000628
GR000978,GR003693
GR000979,GR001737
GR000980,GR008363
GR000981,GR001478
GR000982,GR009909
GR000983,GR004196
GR000984,GR009779
GR000985,GR003192
GR000986,GR002951
GR000987,GR008457
GR000988,GR009385
GR000989,GR009878
GR000990,GR000471
GR000991,GR008695
GR000992,GR008082
GR000993,GR004917
GR000994,GR004320
GR000995,GR008003
GR000996,GR006514
GR000997,GR008402
GR000998,GR007707
GR000999,GR003966
GR001000,GR004762
GR001001,GR003363
GR001002,GR004917
GR001003,GR005963
GR001004,GR001755
GR001005,GR007877
GR001006,GR001944
GR001007,GR004951
GR001008,GR009545
GR001009,GR001425
GR001010,GR005041
GR001011,GR001747
GR001012,GR000452
GR001013,GR005208
GR001014,GR003569
GR001015,GR003934
GR001016,GR004383
GR001017,GR005754
GR001018,GR005022
GR001019,GR008048
GR001020,GR009968
GR001021,GR009140
GR001022,GR005575
GR001023,GR000065
GR001024,GR008872
GR001025,GR002620
GR001026,GR002221
GR001027,GR009970
GR001028,GR001727
GR001029,GR005688
GR001030,GR001940
GR001031,GR002453
GR001032,GR003664
GR001033,GR006377
GR001034,GR002007
GR001035,GR008204
GR001036,GR001829
GR001037,GR002282
GR001038,GR005484
GR001039,GR001067
GR001040,GR002077
GR001041,GR004488
GR001042,GR008837
GR001043,GR009515
GR001044,GR000629
GR001045,GR002432
GR001046,GR003356
GR001047,GR003406
GR001048,GR007892
GR001049,GR008991
GR001050,GR006132
GR001051,GR010073
GR001052,GR008239
GR001053,GR001391
GR001054,GR001327
GR001055,GR005129
GR001056,GR007809
GR001057,GR007172
GR001058,GR005008
GR001059,GR001644
GR001060,GR003116
GR001061,GR005021
GR001062,GR000722
GR001063,GR007368
GR001064,GR008429
GR001065,GR000172
GR001066,GR005803
GR001067,GR004767
GR001068,GR008261
GR001069,GR009194
GR001070,GR002965
GR001071,GR004570
GR001072,GR006417
GR001073,GR006950
GR001074,GR007753
GR001075,GR002873
GR001076,GR003170
GR001077,GR003180
GR001078,GR009328
GR001079,GR003019
GR001080,GR008655
GR001081,GR004526
GR001082,GR003483
GR001083,GR008082
GR001084,GR005123
GR001085,GR000104
GR001086,GR008669
GR001087,GR005526
GR001088,GR007389
GR001089,GR003160
GR001090,GR005805
GR001091,GR009939
GR001092,GR009046
GR001093,GR003521
GR001094,GR000163
GR001095,GR004779
GR001096,GR006625
GR001097,GR008311
GR001098,GR002409
GR001099,GR009242
GR001100,GR000565
GR001101,GR005597
GR001102,GR010042
GR001103,GR009956
GR001104,GR009167
GR001105,GR005277
GR001106,GR009759
GR001107,GR002206
GR001108,GR005619
GR001109,GR007736
GR001110,GR004378
GR001111,GR006560
GR001112,GR008259
GR001113,GR002192
GR001114,GR006218
GR001115,GR002997
GR001116,GR001404
GR001117,GR000398
GR001118,GR008123
GR001119,GR005204
GR001120,GR004687
GR001121,GR003818
GR001122,GR002919
GR001123,GR000117
GR001124,GR002801
GR001125,GR001152
GR001126,GR008660
GR001127,GR005468
GR001128,GR007604
GR001129,GR005246
GR001130,GR006631
GR001131,GR000676
GR001132,GR005453
GR001133,GR008898
GR001134,GR000300
GR001135,GR007596
GR001136,GR006656
GR001137,GR000001
GR001138,GR000653
GR001139,GR002931
GR001140,GR000436
GR001141,GR008957
GR001142,GR005198
GR001143,GR004130
GR001144,GR005066
GR001145,GR001511
GR001146,GR004450
GR001147,GR006467
GR001148,GR007650
GR001149,GR001631
GR001150,GR002790
GR001151,GR007844
GR001152,GR009341
GR001153,GR006990
GR001154,GR009993
GR001155,GR007813
GR001156,GR001398
GR001157,GR005899
GR001158,GR007175
GR001159,GR008622
GR001160,GR008368
GR001161,GR001673
GR001162,GR009996
GR001163,GR007958
GR001164,GR004884
GR001165,GR006206
GR001166,GR008332
GR001167,GR009536
GR001168,GR000619
GR001169,GR003036
GR001170,GR009268
GR001171,GR009482
GR001172,GR002558
GR001173,GR009320
GR001174,GR009218
GR001175,GR001606
GR001176,GR006276
GR001177,GR006299
GR001178,GR009936
GR001179,GR005078
GR001180,GR000171
GR001181,GR009354
GR001182,GR005121
GR001183,GR004534
GR001184,GR000633
GR001185,GR002242
GR001186,GR001917
GR001187,GR004100
GR001188,GR005426
GR001189,GR002736
GR001190,GR008011
GR001191,GR004950
GR001192,GR000764
GR001193,GR006526
GR001194,GR008663
GR001195,GR006696
GR001196,GR000961
GR001197,GR003760
GR001198,GR002905
GR001199,GR006149
GR001200,GR004196
GR001201,GR010025
GR001202,GR003998
GR001203,GR006556
GR001204,GR005466
GR001205,GR001868
GR001206,GR002714
GR001207,GR009886
GR001208,GR004279
GR001209,GR009068
GR001210,GR004705
GR001211,GR003341
GR001212,GR003829
GR001213,GR008317
GR001214,GR008257
GR001215,GR006625
GR001216,GR003817
GR001217,GR009614
GR001218,GR003679
GR001219,GR008005
GR001220,GR005374
GR001221,GR003322
GR001222,GR001848
GR001223,GR000688
GR001224,GR001708
GR001225,GR000034
GR001226,GR003104
GR001227,GR004764
GR001228,GR006010
GR001229,GR004530
GR001230,GR000954
GR001231,GR003864
GR001232,GR003945
GR001233,GR006868
GR001234,GR004920
GR001235,GR003606
GR001236,GR005075
GR001237,GR001573
GR001238,GR009520
GR001239,GR006600
GR001240,GR000099
GR001241,GR003364
GR001242,GR002956
GR001243,GR008636
GR001244,GR006408
GR001245,GR004982
GR001246,GR008789
GR001247,GR003700
GR001248,GR008675
GR001249,GR006076
GR001250,GR005286
GR001251,GR009792
GR001252,GR009736
GR001253,GR005972
GR001254,GR001551
GR001255,GR003707
GR001256,GR008516
GR001257,GR004677
GR001258,GR009878
GR001259,GR002646
GR001260,GR009389
GR001261,GR003922
GR001262,GR004876
GR001263,GR001861
GR001264,GR009006
GR001265,GR009172
GR001266,GR004926
GR001267,GR005661
GR001268,GR000551
GR001269,GR009857
GR001270,GR004228
GR001271,GR004742
GR001272,GR002587
GR001273,GR001663
GR001274,GR003770
GR001275,GR007538
GR001276,GR005748
GR001277,GR002044
GR001278,GR006106
GR001279,GR003537
GR001280,GR008268
GR001281,GR003193
GR001282,GR005035
GR001283,GR009417
GR001284,GR000523
GR001285,GR007554
GR001286,GR001798
GR001287,GR005816
GR001288,GR004104
GR001289,GR008972
GR001290,GR000058
GR001291,GR001815
GR001292,GR001953
GR001293,GR006602
GR001294,GR001136
GR001295,GR002657
GR001296,GR005103
GR001297,GR008036
GR001298,GR000621
GR001299,GR002260
GR001300,GR000578
GR001301,GR004322
GR001302,GR003702
GR001303,GR004802
GR001304,GR002310
GR001305,GR002467
GR001306,GR008879
GR001307,GR004365
GR001308,GR007815
GR001309,GR006712
GR001310,GR009644
GR001311,GR009423
GR001312,GR000637
GR001313,GR004638
GR001314,GR007545
GR001315,GR005437
GR001316,GR009234
GR001317,GR008761
GR001318,GR003187
GR001319,GR005521
GR001320,GR008874
GR001321,GR008373
GR001322,GR008452
GR001323,GR001393
GR001324,GR005521
GR001325,GR004069
GR001326,GR001795
GR001327,GR007092
GR001328,GR002609
GR001329,GR005102
GR001330,GR006432
GR001331,GR000947
GR001332,GR005557
GR001333,GR008906
GR001334,GR001997
GR001335,GR007304
GR001336,GR008062
GR001337,GR001022
GR001338,GR000142
GR001339,GR009734
GR001340,GR000541
GR001341,GR001415
GR001342,GR004297
GR001343,GR004715
GR001344,GR008361
GR001345,GR004754
GR001346,GR009448
GR001347,GR001275
GR001348,GR006478
GR001349,GR008957
GR001350,GR000409
GR001351,GR002004
GR001352,GR008219
GR001353,GR006968
GR001354,GR006403
GR001355,GR006666
GR001356,GR004540
GR001357,GR004369
GR001358,GR008219
GR001359,GR006368
GR001360,GR005037
GR001361,GR006127
GR001362,GR004751
GR001363,GR007833
GR001364,GR004977
GR001365,GR004035
GR001366,GR004206
GR001367,GR009195
GR001368,GR000090
GR001369,GR006009
GR001370,GR000880
GR001371,GR000112
GR001372,GR005572
GR001373,GR002351
GR001374,GR008203
GR001375,GR009805
GR001376,GR001622
GR001377,GR010039
GR001378,GR008382
GR001379,GR001349
GR001380,GR004958
GR001381,GR007283
GR001382,GR001218
GR001383,GR001671
GR001384,GR007277
GR001385,GR003977
GR001386,GR007829
GR001387,GR006437
GR001388,GR003253
GR001389,GR006991
GR001390,GR006298
GR001391,GR003561
GR001392,GR000797
GR001393,GR001040
GR001394,GR005950
GR001395,GR003782
GR001396,GR007551
GR001397,GR007089
GR001398,GR007806
GR001399,GR008896
GR001400,GR009573
GR001401,GR000866
GR001402,GR001287
GR001403,GR005618
GR001404,GR004330
GR001405,GR005358
GR001406,GR001529
GR001407,GR002139
GR001408,GR004104
GR001409,GR006852
GR001410,GR009494
GR001411,GR007280
GR001412,GR009988
GR001413,GR000127
GR001414,GR001144
GR001415,GR008024
GR001416,GR008727
GR001417,GR005506
GR001418,GR008888
GR001419,GR001301
GR001420,GR004642
GR001421,GR006803
GR001422,GR009548
GR001423,GR007297
GR001424,GR006587
GR001425,GR008688
GR001426,GR009688
GR001427,GR001694
GR001428,GR005672
GR001429,GR003525
GR001430,GR000741
GR001431,GR002421
GR001432,GR000941
GR001433,GR006042
GR001434,GR004643
GR001435,GR008467
GR001436,GR006587
GR001437,GR007826
GR001438,GR000355
GR001439,GR002971
GR001440,GR005826
GR001441,GR008680
GR001442,GR001670
GR001443,GR005359
